"FOLIO","P1_1","P1_2_1","P1_2_2","P1_3","P1_4_1","P1_4_2","P1_4_3","P1_4_4","P1_4_5","P1_4_6","P1_5","P4_1_1","P4_1_2","P4_1_3","ENT","FACTOR"
"00000001","01","01","00","2","","","","","","","","","","","01",925
"00000002","04","02","02","1","1","1","1","1","1","1","","1","1","1","24",809
"00000003","02","00","02","2","","","","","","","","","","","02",1248
"00000004","01","00","01","2","","","","","","","","","","","09",8713
"00000005","02","01","01","2","","","","","","","","","","","05",1292
"00000006","04","03","01","2","","","","","","","","","","","29",110
"00000007","07","03","04","1","2","2","1","2","1","1","","2","2","3","22",722
"00000008","01","01","00","2","","","","","","","","","","","24",1565
"00000009","05","03","02","1","1","1","1","1","1","1","","1","1","1","26",425
"00000010","03","02","01","2","","","","","","","","","","","06",166
"00000011","04","02","02","1","1","1","1","2","1","1","","2","1","2","26",584
"00000012","02","01","01","2","","","","","","","","","","","21",1468
"00000013","02","01","01","2","","","","","","","","","","","24",800
"00000014","05","03","02","1","2","1","1","1","1","1","","2","2","1","18",413
"00000015","04","02","02","1","2","1","2","2","1","1","","1","1","1","18",322
"00000016","01","00","01","2","","","","","","","","","","","28",3731
"00000017","01","00","01","2","","","","","","","","","","","06",416
"00000018","02","01","01","2","","","","","","","","","","","32",324
"00000019","05","01","04","1","2","1","1","2","1","1","","2","2","1","27",450
"00000020","02","01","01","2","","","","","","","","","","","02",1154
"00000021","07","04","03","1","2","1","1","1","1","1","","1","1","1","26",945
"00000022","04","01","03","1","1","1","1","1","1","1","","4","1","1","11",1823
"00000023","02","01","01","2","","","","","","","","","","","32",324
"00000024","03","02","01","1","1","1","1","1","1","1","","1","1","1","16",1017
"00000025","05","02","03","1","2","1","2","2","1","1","","1","2","2","29",296
"00000026","05","03","02","1","2","2","1","2","1","2","02","2","2","2","26",595
"00000027","01","00","01","2","","","","","","","","","","","16",2252
"00000028","05","02","03","1","2","1","1","2","1","1","","2","1","2","09",3941
"00000029","06","03","03","1","2","2","1","2","1","2","01","1","1","2","26",1236
"00000030","04","02","02","1","1","1","1","1","1","1","","1","1","2","16",1835
"00000031","02","01","01","2","","","","","","","","","","","03",253
"00000032","06","03","03","1","2","2","1","2","1","1","","2","2","2","15",8270
"00000033","04","02","02","1","2","2","1","1","1","1","","1","1","1","02",931
"00000034","01","00","01","2","","","","","","","","","","","24",1587
"00000035","02","01","01","2","","","","","","","","","","","16",1104
"00000036","02","01","01","2","","","","","","","","","","","30",2651
"00000037","03","02","01","1","1","1","1","1","1","1","","1","1","1","25",1229
"00000038","01","00","01","1","2","1","2","2","1","1","","2","1","2","06",645
"00000039","02","01","01","2","","","","","","","","","","","07",1217
"00000040","02","00","02","1","2","1","1","2","1","1","","1","1","1","30",3599
"00000041","04","01","03","1","2","2","1","2","1","2","07","1","1","2","22",848
"00000042","03","02","01","1","2","1","1","2","1","1","","1","1","2","26",1300
"00000043","04","02","02","1","2","1","1","2","1","1","","1","3","3","28",1405
"00000044","03","02","01","1","2","2","1","1","1","1","","1","1","1","25",1079
"00000045","03","01","02","1","2","2","2","2","1","2","01","2","2","2","32",418
